L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.0%, Threshold: 10.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 36.3%, Threshold: 10.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 41.6%, Threshold: 10.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 46.1%, Threshold: 10.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 50.0%, Threshold: 10.0%)
L 10/03/2025 - 14:09:17: [03/10/2025 - 14:09:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 44.4%, Threshold: 10.0%)
L 10/03/2025 - 14:09:18: [03/10/2025 - 14:09:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 45.0%, Threshold: 10.0%)
L 10/03/2025 - 14:09:18: [03/10/2025 - 14:09:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 47.6%, Threshold: 10.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 54.5%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 58.3%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 61.5%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 64.2%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 62.5%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 64.7%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 63.1%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 65.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.8%, Threshold: 20.0%)
L 10/03/2025 - 14:24:12: [03/10/2025 - 14:24:12] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:16: [03/10/2025 - 14:24:16] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.4%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 21.4%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.4%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.7%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.8%, Threshold: 20.0%)
L 10/03/2025 - 14:24:18: [03/10/2025 - 14:24:18] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.2%, Threshold: 20.0%)
L 10/03/2025 - 14:24:21: [03/10/2025 - 14:24:21] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:25: [03/10/2025 - 14:24:25] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.4%, Threshold: 20.0%)
L 10/03/2025 - 14:24:26: [03/10/2025 - 14:24:26] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:26: [03/10/2025 - 14:24:26] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 21.1%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 21.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 23.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 20.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.4%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 22.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 24.1%, Threshold: 20.0%)
L 10/03/2025 - 14:34:49: [03/10/2025 - 14:34:49] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 26.2%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 27.4%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 28.5%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 29.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.3%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 30.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 31.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 32.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 33.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 34.7%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 34.6%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 35.5%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 36.3%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 66.6%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 64.2%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 66.6%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 68.7%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 70.5%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - Aimbot: Aimbot detected (Accuracy: 65.0%, Threshold: 20.0%)
