L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:53: [03/10/2025 - 13:36:53] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 33.3%, Threshold: 20.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 28.5%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 37.5%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 44.4%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 40.0%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 45.4%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 41.6%, Threshold: 20.0%)
L 10/03/2025 - 14:14:20: [03/10/2025 - 14:14:20] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 46.1%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 66.6%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:11: [03/10/2025 - 14:24:11] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 40.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:12: [03/10/2025 - 14:24:12] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:13: [03/10/2025 - 14:24:13] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 42.8%, Threshold: 20.0%)
L 10/03/2025 - 14:24:16: [03/10/2025 - 14:24:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 37.5%, Threshold: 20.0%)
L 10/03/2025 - 14:24:16: [03/10/2025 - 14:24:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 33.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:16: [03/10/2025 - 14:24:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 30.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 36.3%, Threshold: 20.0%)
